transform_id,transform_tag,scale_x,scale_y,scale_z,isotropic_scale,registration_succeeded,reg_exit_code,roi_size,roi_size_xyz,degradation,blur_sigma_xy,awgn_variance,awgn_seed,match_count,linear_rms_error,linear_mean_abs_error,linear_max_abs_error,translation_l2_error_voxels,translation_mean_abs_error_voxels,translation_max_abs_error_voxels,max_abs_transform_element_error,max_abs_transform_element_component,linear_det_abs_error,noise_std,expected_noise_std,run_dir
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,40.0,42,169,0.0016889460569479353,0.0013655821936666794,0.003633462407999999,0.4027618161481935,0.206309546157323,0.3572354592610143,0.3572354592610143,tz,0.0035539946016129864,6.330502033233643,6.324555320336759,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0040
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,45.0,42,162,0.0026168111849711535,0.002243659510555545,0.0050824624080000325,0.5193320271192741,0.25417954615732263,0.37334729557196766,0.37334729557196766,ty,0.0019452671674377031,6.713950157165527,6.708203932499369,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0045
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,50.0,42,152,0.0018286938491688268,0.0016005115374444305,0.0036874624079999974,0.4478634931529364,0.23219595706466598,0.3233202955719676,0.3233202955719676,ty,0.0032889822050053974,7.075939178466797,7.0710678118654755,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0050
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,60.0,42,147,0.0022171562585213546,0.0019264640492222247,0.0034786389239999937,0.42443777911223113,0.21732629039800008,0.30303245926101496,0.30303245926101496,tz,0.003562990550018963,7.750592231750488,7.745966692414834,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0060
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,70.0,42,143,0.0023801214602169516,0.0020593529381111187,0.0033892001749999956,0.44341393285123143,0.23828562373133266,0.3055711163610155,0.3055711163610155,tx,0.004315471427573936,8.370301246643066,8.366600265340756,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0070
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,80.0,42,138,0.0019695841265602765,0.001682048102333351,0.0033546389239999946,0.39760541078225436,0.22762929039799928,0.25954111636101374,0.25954111636101374,tx,0.0017701469721402852,8.947517395019531,8.94427190999916,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0080
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,90.0,42,140,0.0019061898860654287,0.0016488954258888802,0.0035706389240000025,0.41449458527838084,0.23224595706466525,0.2989574592610147,0.2989574592610147,tz,0.003349608806050286,9.489676475524902,9.486832980505138,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0090
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,blur_awgn,1.0,25.0,42,147,0.0027170923302298907,0.0019541574016666624,0.005773128238999892,0.47662942073781533,0.2505872128239896,0.35752245926101445,0.35752245926101445,tz,0.00021121170536098077,5.007657051086426,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_blur1_awgn_var0025
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,250,250x250x250,awgn,0.0,5.0,42,1549,0.0005304885163932131,0.0004656477674444579,0.0008683341210000695,0.13912151088303018,0.07985952597834611,0.08831750532302607,0.08831750532302607,tx,0.00031585474178241757,2.2542271614074707,2.23606797749979,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi250_var0005
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,250,250x250x250,awgn,0.0,10.0,42,1504,0.0005690268057083162,0.00052436603255556,0.0008199867050000115,0.19337572290640492,0.11134185931168024,0.12150369571400788,0.12150369571400788,tz,0.0006524489311166004,3.1749143600463867,3.1622776601683795,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi250_var0010
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,250,250x250x250,awgn,0.0,15.0,42,1431,0.0008225557382970993,0.0006921438103333282,0.0016161282389999254,0.12395874161521978,0.07039719264501205,0.0856615053230243,0.0856615053230243,tx,0.0009882297438431609,3.8830692768096924,3.872983346207417,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi250_var0015
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,250,250x250x250,awgn,0.0,20.0,42,1412,0.0006164562564195572,0.0005193453061111054,0.0012111282389999367,0.12814003413142838,0.05527460804634169,0.12297350532302431,0.12297350532302431,tx,0.0009458451504857912,4.4807233810424805,4.47213595499958,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi250_var0020
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,250,250x250x250,awgn,0.0,25.0,42,1388,0.0005208488041415938,0.0004737302378888962,0.0007319867050000067,0.16881606839482746,0.08942319264501346,0.14419650532302342,0.14419650532302342,tx,0.0005797557274641596,5.007569313049316,5.0,UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi250_var0025
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,250,250x250x250,awgn,0.0,30.0,42,1365,0.0006005513757102514,0.0005206910121111075,0.001198128238999896,0.18313574966608237,0.0781096080463423,0.17635150532302646,0.17635150532302646,tx,0.0008809563143895582,5.483808994293213,5.477225575051661,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi250_var0030
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,250,250x250x250,awgn,0.0,35.0,42,1348,0.0006202880374535197,0.0005761746823333367,0.0010921282389999565,0.16786443375292115,0.0663625259783475,0.1655525053230278,0.1655525053230278,tx,0.001221640235879673,5.92206335067749,5.916079783099616,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi250_var0035
